epoch	loss	acc	val_loss	val_acc
0	2.642783699556789	0.16989155113697052	3.057894481282656	0.17942176759243011
1	2.1399521634042857	0.30778226256370544	1.875037551737156	0.4039115607738495
2	1.064960474679502	0.6657452583312988	0.9098283790406727	0.7274659872055054
3	0.520074113826409	0.8464809656143188	0.2994281349538946	0.9141156673431396
4	0.27263355779186504	0.9196257591247559	0.3759008927815625	0.8864796161651611
5	0.33089665119606915	0.8992132544517517	0.2919153975335514	0.9187925457954407
6	0.18089131702489353	0.9448224306106567	0.20733041368222155	0.9294217824935913
7	0.1620732162455891	0.9504571557044983	0.17617324787844607	0.9434523582458496
8	0.1412566922107593	0.9540718793869019	0.16625122592283959	0.9464285969734192
9	0.1415194410053677	0.9533276557922363	0.240395353185203	0.9404761791229248
